Location,TotalGenTWh,PercentRenewable,RenewableGenTWh,PercentOfUSRenewable,CO2MtPerTWh
United States,4230.7,21.1,894.7,100.0,390
Vermont,2.2,99.6,2.2,0.24,6
South Dakota,17.9,81.4,14.6,1.63,158
Washington,116.7,75.7,88.4,9.88,92
Idaho,16.3,73.0,11.9,1.33,141
Oregon,61.3,68.9,42.2,4.72,128
Iowa,73.0,64.9,47.4,5.29,358
Maine,12.8,62.9,8.0,0.90,219
Montana,27.1,51.6,14.0,1.56,504
DC,0.2,49.9,0.1,0.01,397
Kansas,62.2,48.0,29.8,3.34,384
Oklahoma,84.6,46.8,39.6,4.43,314
California,203.4,43.0,87.4,9.77,219
North Dakota,44.4,40.6,18.0,2.02,649
New Mexico,40.9,40.6,16.6,1.86,443
Colorado,58.0,35.8,20.8,2.32,512
Nevada,42.6,35.2,15.0,1.68,317
Nebraska,40.7,34.0,13.8,1.55,545
Minnesota,59.0,32.4,19.1,2.14,379
Alaska,6.7,28.3,1.9,0.21,537
New York,125.2,28.1,35.2,3.94,246
Texas,525.6,26.5,139.3,15.57,406
Wyoming,46.3,23.1,10.7,1.20,833
Hawaii,9.3,19.0,1.8,0.20,688
Massachusetts,21.0,17.0,3.6,0.40,433
Utah,39.4,14.5,5.7,0.64,667
Illinois,185.2,13.7,25.4,2.84,290
North Carolina,134.3,13.6,18.3,2.05,307
Arizona,104.7,13.6,14.2,1.59,315
New Hampshire,18.8,13.5,2.5,0.28,136
Tennessee,78.0,12.6,9.8,1.10,341
Indiana,98.1,12.1,11.8,1.32,719
Georgia,126.5,12.0,15.2,1.70,346
Missouri,79.4,11.7,9.3,1.04,720
Michigan,117.5,10.9,12.8,1.43,498
Rhode Island,7.8,10.2,0.8,0.09,377
Alabama,144.8,9.9,14.3,1.60,361
Wisconsin,61.2,9.4,5.8,0.64,538
Maryland,37.1,8.9,3.3,0.37,303
Virginia,89.5,8.9,8.0,0.89,292
Arkansas,65.9,7.8,5.1,0.57,475
Kentucky,69.1,7.3,5.0,0.56,796
West Virginia,56.7,6.5,3.7,0.41,889
Florida,258.9,6.0,15.6,1.74,377
South Carolina,98.7,5.8,5.7,0.64,252
Ohio,135.8,3.8,5.1,0.57,528
New Jersey,65.1,3.2,2.1,0.23,244
Pennsylvania,239.3,3.1,7.3,0.82,324
Louisiana,105.5,3.0,3.2,0.36,457
Connecticut,43.1,2.9,1.3,0.14,250
Delaware,5.3,2.8,0.1,0.02,505
Mississippi,67.8,2.7,1.8,0.20,403